"","lat","lon","modality","units","O3_cal","O3","reg_site","timestamp"
"120",37.9383,-122.025,"OZONE","PPB",18,21.6,"Concord",2020-06-30 09:00:00
"121",37.9722,-122.5189,"OZONE","PPB",19,20.6,"San Rafael",2020-06-30 08:00:00
"122",37.7658,-122.3978,"OZONE","PPB",22,19.1,"San Francisco",2020-06-30 08:00:00
"123",37.9604,-122.3571,"OZONE","PPB",18,16.2,"San Pablo",2020-06-30 08:00:00
"124",37.864767,-122.302741,"OZONE","PPB",15,15.1,"Berkeley",2020-06-30 08:00:00
"125",37.8148,-122.282402,"OZONE","PPB",14,11.8,"Oakland",2020-06-30 08:00:00
"126",38.102507,-122.237976,"OZONE","PPB",13,10.8,"Vallejo",2020-06-30 08:00:00
"127",37.743061,-122.169907,"OZONE","PPB",10,7.6,"San Leandro",2020-06-30 08:00:00
"128",37.9383,-122.025,"OZONE","PPB",20,21.5,"Concord",2020-06-30 08:00:00
"129",37.9722,-122.5189,"OZONE","PPB",19,20.2,"San Rafael",2020-06-30 07:00:00
"130",37.7658,-122.3978,"OZONE","PPB",22,21.7,"San Francisco",2020-06-30 07:00:00
"131",37.9604,-122.3571,"OZONE","PPB",19,18.2,"San Pablo",2020-06-30 07:00:00
"132",37.864767,-122.302741,"OZONE","PPB",16,15,"Berkeley",2020-06-30 07:00:00
"133",37.8148,-122.282402,"OZONE","PPB",15,12.3,"Oakland",2020-06-30 07:00:00
"134",38.102507,-122.237976,"OZONE","PPB",14,16.6,"Vallejo",2020-06-30 07:00:00
"135",37.743061,-122.169907,"OZONE","PPB",11,11,"San Leandro",2020-06-30 07:00:00
"136",37.9383,-122.025,"OZONE","PPB",22,20.3,"Concord",2020-06-30 07:00:00
"137",37.9722,-122.5189,"OZONE","PPB",20,20.1,"San Rafael",2020-06-30 06:00:00
"138",37.7658,-122.3978,"OZONE","PPB",23,24,"San Francisco",2020-06-30 06:00:00
"139",37.9604,-122.3571,"OZONE","PPB",19,19.5,"San Pablo",2020-06-30 06:00:00
"140",37.864767,-122.302741,"OZONE","PPB",16,15.6,"Berkeley",2020-06-30 06:00:00
"141",37.8148,-122.282402,"OZONE","PPB",16,14,"Oakland",2020-06-30 06:00:00
"142",38.102507,-122.237976,"OZONE","PPB",15,15.2,"Vallejo",2020-06-30 06:00:00
"143",37.743061,-122.169907,"OZONE","PPB",12,13.6,"San Leandro",2020-06-30 06:00:00
"144",37.9383,-122.025,"OZONE","PPB",23,20.7,"Concord",2020-06-30 06:00:00
"145",37.9722,-122.5189,"OZONE","PPB",25,24.1,"San Rafael",2020-06-30 06:00:00
"146",37.7658,-122.3978,"OZONE","PPB",27,28.4,"San Francisco",2020-06-30 06:00:00
"147",37.9604,-122.3571,"OZONE","PPB",25,27.3,"San Pablo",2020-06-30 06:00:00
"148",37.864767,-122.302741,"OZONE","PPB",20,19.7,"Berkeley",2020-06-30 06:00:00
"149",37.8148,-122.282402,"OZONE","PPB",23,25.5,"Oakland",2020-06-30 06:00:00
"150",38.102507,-122.237976,"OZONE","PPB",30,30.8,"Vallejo",2020-06-30 06:00:00
"151",37.743061,-122.169907,"OZONE","PPB",24,25.8,"San Leandro",2020-06-30 06:00:00
"152",37.9383,-122.025,"OZONE","PPB",35,35,"Concord",2020-06-30 06:00:00
