"ID","TIME","TIMESTAMP","LATITUDE","LONGITUDE","DEPLOYMENT.DATE","DEPLOYMENT.DATETIME","O3.GAIN.PSE","O3.OFFSET.PSE","O3.GAIN.AQ","O3.OFFSET.AQ","O3.PROXY","O3.RAW","O3.PSE","O3.AQ","NO2.RAW","NO2.AQ"
"AQY BB-642","2020-07-07 07:00:00",2020-07-07 07:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,28.2,29.15,30.74,30.82,-1.64,-0.82
"AQY BB-633","2020-07-07 08:00:00",2020-07-07 08:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,28.8,32.91,29.89,30.47,-8.34,-0.99
"AQY BB-642","2020-07-07 08:00:00",2020-07-07 08:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,28.8,29.07,30.54,30.62,-1.62,-0.75
"AQY BB-633","2020-07-07 09:00:00",2020-07-07 09:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,28.5,32.69,29.45,30.02,-8.66,-1.03
"AQY BB-642","2020-07-07 09:00:00",2020-07-07 09:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,28.5,28.83,29.92,30.04,-2,-0.75
"AQY BB-633","2020-07-07 10:00:00",2020-07-07 10:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,27,31.93,27.92,28.48,-7.71,-0.1
"AQY BB-642","2020-07-07 10:00:00",2020-07-07 10:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,27,28.17,28.25,28.43,-1.48,-0.02
"AQY BB-633","2020-07-07 11:00:00",2020-07-07 11:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,27.2,32.11,28.28,28.85,-7.08,0.12
"AQY BB-642","2020-07-07 11:00:00",2020-07-07 11:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,27.2,28.18,28.27,28.45,-1,0.2
"AQY BB-633","2020-07-07 12:00:00",2020-07-07 12:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,26.6,31.94,27.94,28.5,-6.26,0.64
"AQY BB-642","2020-07-07 12:00:00",2020-07-07 12:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,26.6,28.18,28.27,28.45,-0.72,0.33
"AQY BB-633","2020-07-07 13:00:00",2020-07-07 13:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,26.5,31.68,27.42,27.97,-4.9,1.49
"AQY BB-642","2020-07-07 13:00:00",2020-07-07 13:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,26.5,27.91,27.58,27.79,0.32,1.02
