ID,description,address,city,proxy_site,start_date,end_date,lat,long,O3.slope,O3.intercept,O3.gain,O3.offset,Ox.slope,Ox.intercept,Ox.gain,Ox.offset,NO2.slope,NO2.intercept,NO2.gain,NO2.offset,PM.slope,PM.intercept,PM.gain,PM.offset
AQY BB-801,Community college,2600 Mission Bell Dr.,San Pablo,San Pablo,5/11/2020,,37.971666,-122.33952,0.973704712,0.501062137,1.027005403,0.501062137,0.884296693,1.819749444,1.13084218,1.819749444,1.177138568,-3.534465263,0.849517658,-3.534465263,1.675390466,-2.156769722,0.596875785,-2.156769722
AQY BB-806,Fire Station,1065 7th St,Richmond,San Pablo,5/12/2020,,37.948007,-122.364858,0.872866225,-0.290580572,1.145650928,-0.290580572,0.917128981,17.67266818,1.090359176,17.67266818,1.191212045,-3.706461266,0.839481102,-3.706461266,2.040756395,-3.078909463,0.49001439,-3.078909463
AQY BB-608,NA,NA,NA,,NA,,NA,NA,0.401412992,7.195824679,2.491199883,7.195824679,0.852373074,-20.29442984,1.173195201,-20.29442984,0.400010269,14.43822911,2.49993582,14.43822911,0.666073,0.0989475,1.501336941,0.0989475
AQY BB-633,NA,NA,NA,,NA,,NA,NA,0.415848288,11.09599794,2.404723135,11.09599794,1.137645495,0.008635528,0.879008447,0.008635528,0.849833821,2.422942235,1.176700639,2.422942235,0.903969433,-0.142065813,1.106232095,-0.142065813
AQY BB-642,NA,NA,NA,,NA,,NA,NA,0.560384656,6.072901612,1.784488545,6.072901612,0.90351522,11.36015357,1.106788218,11.36015357,1.013674937,-1.953436026,0.986509544,-1.953436026,0.86795858,-0.347867336,1.152128711,-0.347867336
AQY BB-804,NA,NA,NA,,NA,,NA,NA,0.369311539,2.944753469,2.707741012,2.944753469,1.098041812,2.752665644,0.910712133,2.752665644,0.838405178,2.715096186,1.192740725,2.715096186,0.689814054,0.997944859,1.449666028,0.997944859
AQY BB-650,NA,NA,NA,,NA,,NA,NA,0.99790005,0.018058123,1.002104369,0.018058123,1.005919785,-2.271051981,0.994115052,-2.271051981,0.820860021,0.815327738,1.218234503,0.815327738,1.829053482,-2.948423603,0.546730869,-2.948423603
AQY BB-787,NA,NA,NA,,NA,,NA,NA,0.893342346,-0.230503665,1.119391692,-0.230503665,0.829690593,16.82915542,1.205268577,16.82915542,1.178837677,-3.555230558,0.848293213,-3.555230558,2.170359567,-3.349830012,0.460753147,-3.349830012
AQY BB-789,NA,NA,NA,,NA,,NA,NA,0.882456659,2.569486534,1.133200129,2.569486534,0.97025889,10.89377116,1.030652757,10.89377116,1.150815521,-3.212763751,0.868949003,-3.212763751,1.502049818,-1.899290652,0.66575688,-1.899290652
AQY BB-790,NA,NA,NA,,NA,,NA,NA,0.86709657,-1.331189962,1.153274081,-1.331189962,1.019174178,11.19678669,0.981186555,11.19678669,1.210955429,-3.902485246,0.825794225,-3.902485246,1.973015396,-1.810986679,0.506838417,-1.810986679
AQY BB-791,NA,NA,NA,,NA,,NA,NA,1.135964554,0.228699149,0.880309158,0.228699149,1.096973743,9.728082094,0.911598847,9.728082094,1.070728182,-2.233993381,0.933943849,-2.233993381,1.274507138,0.941043967,0.784617026,0.941043967
AQY BB-792,NA,NA,NA,,NA,,NA,NA,0.913888248,-1.146990888,1.094225691,-1.146990888,0.869196743,2.900223405,1.150487514,2.900223405,1.171298058,-3.463086716,0.853753656,-3.463086716,1.751174982,-2.31575808,0.571045161,-2.31575808
AQY BB-796,NA,NA,NA,,NA,,NA,NA,1.011363839,-0.439946849,0.988763847,-0.439946849,1.078416002,9.811108736,0.927285944,9.811108736,1.115831458,-2.785213468,0.896192694,-2.785213468,1.708990166,-1.584456143,0.585140874,-1.584456143
AQY BB-797,NA,NA,NA,,NA,,NA,NA,1.037030017,2.359659897,0.964292242,2.359659897,1.156632087,9.543657382,0.864579161,9.543657382,1.108817957,-2.699499455,0.901861296,-2.699499455,1.557032468,-1.583414116,0.642247365,-1.583414116
AQY BB-799,NA,NA,NA,,NA,,NA,NA,1.036418879,1.191972137,0.964860849,1.191972137,1.07581048,8.239326089,0.929531752,8.239326089,1.181590789,-3.588877137,0.846316685,-3.588877137,1.347686082,-1.125094432,0.74201256,-1.125094432
AQY BB-800,NA,NA,NA,,NA,,NA,NA,1.102486573,2.898834164,0.907040525,2.898834164,0.732051868,0.333484308,1.366023424,0.333484308,0.569680979,3.889448347,1.755368419,3.889448347,1.359060704,-0.983704443,0.735802306,-0.983704443
AQY BB-802,NA,NA,NA,,NA,,NA,NA,0.946171945,-0.875251419,1.056890352,-0.875251419,1.108604101,11.91279129,0.90203527,11.91279129,1.112547158,-2.745075094,0.898838303,-2.745075094,1.59960909,-1.158202673,0.625152736,-1.158202673
AQY BB-807,NA,NA,NA,,NA,,NA,NA,1.005944598,0.617361129,0.994090531,0.617361129,1.081048432,12.22378635,0.925027936,12.22378635,1.119515864,-2.830241649,0.89324326,-2.830241649,1.293984156,-1.121582341,0.772806989,-1.121582341
AQY BB-810,NA,NA,NA,,NA,,NA,NA,1.050971202,2.49027005,0.951500857,2.49027005,0.926933168,10.38829522,1.07882643,10.38829522,1.175001633,-3.508349164,0.851062647,-3.508349164,1.494251118,-2.070868558,0.669231556,-2.070868558
AQY BB-811,NA,NA,NA,,NA,,NA,NA,1.011583143,0.21283401,0.98854949,0.21283401,1.057048704,9.9589412,0.946030203,9.9589412,1.195529483,-3.713425119,0.836449468,-3.713425119,1.673120699,-1.833947952,0.597685511,-1.833947952
